CPR_CODEQUAL,CPR_NATCODE,ID_NATIONALITY,ID_PRODUCTLEVEL,CPR_INDICATOR,CPR_ACTION,DWH_SNAPSHOTTIMESTAMP
2,MYS,122117009,155681291,VSP,N,29MAY2022:06:58:49.260
2,MYS,122117010,155681292,VSP,N,29MAY2022:06:58:49.433
2,MYS,122117011,155681298,VSP,N,29MAY2022:06:58:50.217
2,MYS,122117012,155681299,VSP,N,29MAY2022:06:58:50.387
2,MYS,122117013,155681302,VSP,N,29MAY2022:06:58:50.823
2,MYS,122117014,155681303,VSP,N,29MAY2022:06:58:50.980
2,MYS,122117015,155681304,VSP,N,29MAY2022:06:58:51.107
2,IND,122117016,155681305,VSP,N,29MAY2022:06:58:51.263
2,IND,122117017,155681306,VSP,N,29MAY2022:06:58:51.373
2,MYS,122117018,155681307,VSP,N,29MAY2022:06:58:51.543
2,CHN,122117019,155681308,VSP,N,29MAY2022:06:58:51.773
2,MYS,122117020,155681309,VSP,N,29MAY2022:06:58:51.963
2,MYS,122117021,155681310,VSP,N,29MAY2022:06:58:52.137
2,MYS,122117022,155681311,VSP,N,29MAY2022:06:58:52.340
2,MYS,122117023,155681312,VSP,N,29MAY2022:06:58:52.527
2,MYS,122117024,155681313,VSP,N,29MAY2022:06:58:52.713
2,MYS,122117025,155681330,VSP,N,29MAY2022:06:58:54.987
2,MYS,122117026,155681331,VSP,N,29MAY2022:06:58:55.283
2,MYS,122117027,155681342,VSP,N,29MAY2022:06:58:57.083
2,MYS,122117028,155681343,VSP,N,29MAY2022:06:58:57.253
2,MYS,122117029,155681346,VSP,N,29MAY2022:06:58:57.737
2,MYS,122117030,155681347,VSP,N,29MAY2022:06:58:57.907
2,MYS,122117031,155681350,VSP,N,29MAY2022:06:58:58.343
2,MYS,122117032,155681351,VSP,N,29MAY2022:06:58:58.517
2,MYS,122117033,155681354,VSP,N,29MAY2022:06:58:58.940
2,MYS,122117034,155681355,VSP,N,29MAY2022:06:58:59.113
2,MYS,122117035,155681358,VSP,N,29MAY2022:06:58:59.587
2,MYS,122117036,155681359,VSP,N,29MAY2022:06:58:59.757
2,MYS,122117037,155681362,VSP,N,29MAY2022:06:59:00.227
2,MYS,122117038,155681363,VSP,N,29MAY2022:06:59:00.447
2,MYS,122117039,155681364,VSP,N,29MAY2022:06:59:00.620
2,MYS,122117040,155681367,VSP,N,29MAY2022:06:59:01.117
2,MYS,122117041,155681368,VSP,N,29MAY2022:06:59:01.243
2,MYS,122117042,155681369,VSP,N,29MAY2022:06:59:01.337
2,MYS,122117043,155681370,VSP,N,29MAY2022:06:59:01.413
2,MYS,122117044,155681371,VSP,N,29MAY2022:06:59:01.600
2,MYS,122117045,155681372,VSP,N,29MAY2022:06:59:01.727
2,MYS,122117046,155681373,VSP,N,29MAY2022:06:59:01.867
2,MYS,122117047,155681374,VSP,N,29MAY2022:06:59:01.993
2,MYS,122117048,155681375,VSP,N,29MAY2022:06:59:02.133
2,CHN,122117049,155681376,VSP,N,29MAY2022:06:59:02.353
2,CHN,122117050,155681377,VSP,N,29MAY2022:06:59:02.557
2,MYS,122117051,155681378,VSP,N,29MAY2022:06:59:02.730
2,MYS,122117052,155681379,VSP,N,29MAY2022:06:59:02.870
2,MYS,122117053,155681380,VSP,N,29MAY2022:06:59:03.073
2,MYS,122117054,155681382,VSP,N,29MAY2022:06:59:03.387
2,MYS,122117055,155681383,VSP,N,29MAY2022:06:59:03.623
2,MYS,122117056,155681384,VSP,N,29MAY2022:06:59:03.853
2,MYS,122117057,155681395,VSP,N,29MAY2022:06:59:05.070
2,MYS,122117058,155681397,VSP,N,29MAY2022:06:59:05.337
2,MYS,122117059,155681399,VSP,N,29MAY2022:06:59:05.637
2,MYS,122117060,155681401,VSP,N,29MAY2022:06:59:05.953
2,MYS,122117061,155681403,VSP,N,29MAY2022:06:59:06.250
2,MYS,122117062,155681404,VSP,N,29MAY2022:06:59:06.390
2,MYS,122117063,155681405,VSP,N,29MAY2022:06:59:06.580
2,MYS,122117064,155681406,VSP,N,29MAY2022:06:59:06.750
2,MYS,122117065,155681407,VSP,N,29MAY2022:06:59:06.977
2,MYS,122117066,155681408,VSP,N,29MAY2022:06:59:07.137
2,MYS,122117067,155681409,VSP,N,29MAY2022:06:59:07.340
2,MYS,122117068,155681410,VSP,N,29MAY2022:06:59:07.497
2,MYS,122117069,155681411,VSP,N,29MAY2022:06:59:07.730
2,MYS,122117070,155681412,VSP,N,29MAY2022:06:59:07.870
2,MYS,122117071,155681413,VSP,N,29MAY2022:06:59:08.077
2,DEU,122117072,155681415,VSP,N,29MAY2022:06:59:08.437
2,DEU,122117073,155681416,VSP,N,29MAY2022:06:59:08.623
2,MYS,122117074,155681421,VSP,N,29MAY2022:06:59:09.390
2,MYS,122117075,155681422,VSP,N,29MAY2022:06:59:09.563
2,MYS,122117076,155681425,VSP,N,29MAY2022:06:59:09.977
2,MYS,122117077,155681426,VSP,N,29MAY2022:06:59:10.003
2,MYS,122117078,155681429,VSP,N,29MAY2022:06:59:10.063
2,MYS,122117079,155681430,VSP,N,29MAY2022:06:59:10.080
2,MYS,122117080,155681433,VSP,N,29MAY2022:06:59:10.143
2,MYS,122117081,155681435,VSP,N,29MAY2022:06:59:10.190
2,MYS,122117082,155681437,VSP,N,29MAY2022:06:59:10.237
2,MYS,122117083,155681439,VSP,N,29MAY2022:06:59:10.283
2,MYS,122117084,155681441,VSP,N,29MAY2022:06:59:10.330
2,MYS,122117085,155681443,VSP,N,29MAY2022:06:59:10.377
2,MYS,122117086,155681446,VSP,N,29MAY2022:06:59:10.440
2,MYS,122117087,155681448,VSP,N,29MAY2022:06:59:10.487
2,MYS,122117088,155681452,VSP,N,29MAY2022:06:59:10.580
2,MYS,122117089,155681454,VSP,N,29MAY2022:06:59:10.627
2,USA,122117090,155681458,VSP,N,29MAY2022:06:59:10.737
2,USA,122117091,155681459,VSP,N,29MAY2022:06:59:10.783
2,USA,122117092,155681460,VSP,N,29MAY2022:06:59:10.817
2,MYS,122117093,155681461,VSP,N,29MAY2022:06:59:10.847
2,MYS,122117094,155681462,VSP,N,29MAY2022:06:59:10.863
2,MYS,122117095,155681463,VSP,N,29MAY2022:06:59:10.893
2,MYS,122117096,155681465,VSP,N,29MAY2022:06:59:10.957
2,MYS,122117097,155681467,VSP,N,29MAY2022:06:59:11.007
2,MYS,122117098,155681468,VSP,N,29MAY2022:06:59:11.037
2,MYS,122117099,155681472,VSP,N,29MAY2022:06:59:11.130
2,MYS,122117100,155681474,VSP,N,29MAY2022:06:59:11.193
2,MYS,122117101,155681477,VSP,N,29MAY2022:06:59:11.270
2,MYS,122117102,155681478,VSP,N,29MAY2022:06:59:11.303
2,MYS,122117103,155681481,VSP,N,29MAY2022:06:59:11.380
2,MYS,122117104,155681482,VSP,N,29MAY2022:06:59:11.443
2,MYS,122117105,155681485,VSP,N,29MAY2022:06:59:11.880
2,MYS,122117106,155681487,VSP,N,29MAY2022:06:59:12.147
2,MYS,122117107,155681488,VSP,N,29MAY2022:06:59:12.333
2,MYS,122117108,155681490,VSP,N,29MAY2022:06:59:12.443
2,IND,122117109,155681491,VSP,N,29MAY2022:06:59:12.490
2,IND,122117110,155681492,VSP,N,29MAY2022:06:59:12.507
2,MYS,122117111,155681495,VSP,N,29MAY2022:06:59:12.693
2,MYS,122117112,155681496,VSP,N,29MAY2022:06:59:12.847
2,MYS,122117113,155681497,VSP,N,29MAY2022:06:59:12.880
2,MYS,122117114,155681500,VSP,N,29MAY2022:06:59:12.957
2,MYS,122117115,155681506,VSP,N,29MAY2022:06:59:13.097
2,MYS,122117116,155681507,VSP,N,29MAY2022:06:59:13.127
2,MYS,122117117,155681512,VSP,N,29MAY2022:06:59:13.270
2,MYS,122117118,155681513,VSP,N,29MAY2022:06:59:13.300
2,MYS,122117119,155681515,VSP,N,29MAY2022:06:59:13.330
2,MYS,122117120,155681521,VSP,N,29MAY2022:06:59:13.457
2,MYS,122117121,155681522,VSP,N,29MAY2022:06:59:13.470
2,MYS,122117122,155681523,VSP,N,29MAY2022:06:59:13.503
2,MYS,122117123,155681524,VSP,N,29MAY2022:06:59:13.533
2,MYS,122117124,155681525,VSP,N,29MAY2022:06:59:13.563
2,MYS,122117125,155681526,VSP,N,29MAY2022:06:59:13.580
2,MYS,122117126,155681527,VSP,N,29MAY2022:06:59:13.597
2,MYS,122117127,155681530,VSP,N,29MAY2022:06:59:13.660
2,MYS,122117128,155681534,VSP,N,29MAY2022:06:59:13.737
2,MYS,122117129,155681535,VSP,N,29MAY2022:06:59:13.753
2,MYS,122117130,155681536,VSP,N,29MAY2022:06:59:13.783
2,MYS,122117131,155681537,VSP,N,29MAY2022:06:59:13.800
2,MYS,122117132,155681538,VSP,N,29MAY2022:06:59:13.813
2,MYS,122117133,155681541,VSP,N,29MAY2022:06:59:13.910
2,MYS,122117134,155681542,VSP,N,29MAY2022:06:59:13.940
2,MYS,122117135,155681543,VSP,N,29MAY2022:06:59:13.973
2,MYS,122117136,155681544,VSP,N,29MAY2022:06:59:13.990
2,MYS,122117137,155681545,VSP,N,29MAY2022:06:59:14.020
2,MYS,122117138,155681546,VSP,N,29MAY2022:06:59:14.033
2,USA,122117139,155681547,VSP,N,29MAY2022:06:59:14.080
2,USA,122117140,155681548,VSP,N,29MAY2022:06:59:14.113
2,USA,122117141,155681550,VSP,N,29MAY2022:06:59:14.143
2,USA,122117142,155681556,VSP,N,29MAY2022:06:59:14.270
2,USA,122117143,155681557,VSP,N,29MAY2022:06:59:14.283
2,USA,122117144,155681558,VSP,N,29MAY2022:06:59:14.300
2,USA,122117145,155681559,VSP,N,29MAY2022:06:59:14.330
2,USA,122117146,155681560,VSP,N,29MAY2022:06:59:14.363
2,USA,122117147,155681561,VSP,N,29MAY2022:06:59:14.380
2,USA,122117148,155681562,VSP,N,29MAY2022:06:59:14.410
2,USA,122117149,155681565,VSP,N,29MAY2022:06:59:14.473
2,USA,122117150,155681569,VSP,N,29MAY2022:06:59:14.550
2,USA,122117151,155681570,VSP,N,29MAY2022:06:59:14.567
2,USA,122117152,155681571,VSP,N,29MAY2022:06:59:14.580
2,USA,122117153,155681572,VSP,N,29MAY2022:06:59:14.613
2,USA,122117154,155681573,VSP,N,29MAY2022:06:59:14.630
2,USA,122117155,155681576,VSP,N,29MAY2022:06:59:14.690
2,USA,122117156,155681577,VSP,N,29MAY2022:06:59:14.770
2,USA,122117157,155681578,VSP,N,29MAY2022:06:59:14.800
2,USA,122117158,155681579,VSP,N,29MAY2022:06:59:14.830
2,USA,122117159,155681580,VSP,N,29MAY2022:06:59:14.863
2,USA,122117160,155681581,VSP,N,29MAY2022:06:59:14.910
2,MYS,122117161,155681582,VSP,N,29MAY2022:06:59:14.940
2,MYS,122117162,155681584,VSP,N,29MAY2022:06:59:15.020
2,MYS,122117163,155681585,VSP,N,29MAY2022:06:59:15.053
2,MYS,122117164,155681586,VSP,N,29MAY2022:06:59:15.087
2,MYS,122117165,155681587,VSP,N,29MAY2022:06:59:15.117
2,MYS,122117166,155681588,VSP,N,29MAY2022:06:59:15.180
2,MYS,122117167,155681589,VSP,N,29MAY2022:06:59:15.227
2,MYS,122117168,155681590,VSP,N,29MAY2022:06:59:15.257
2,MYS,122117169,155681591,VSP,N,29MAY2022:06:59:15.303
2,MYS,122117170,155681592,VSP,N,29MAY2022:06:59:15.337
2,MYS,122117171,155681593,VSP,N,29MAY2022:06:59:15.367
2,MYS,122117172,155681594,VSP,N,29MAY2022:06:59:15.397
2,IND,122117173,155681596,VSP,N,29MAY2022:06:59:15.443
2,IND,122117174,155681597,VSP,N,29MAY2022:06:59:15.477
2,MYS,122117175,155681598,VSP,N,29MAY2022:06:59:15.507
2,MYS,122117176,155681599,VSP,N,29MAY2022:06:59:15.553
2,MYS,122117177,155681602,VSP,N,29MAY2022:06:59:15.633
2,MYS,122117178,155681603,VSP,N,29MAY2022:06:59:15.663
2,MYS,122117179,155681605,VSP,N,29MAY2022:06:59:15.727
2,MYS,122117180,155681606,VSP,N,29MAY2022:06:59:15.760
2,MYS,122117181,155681613,VSP,N,29MAY2022:06:59:15.987
2,MYS,122117182,155681614,VSP,N,29MAY2022:06:59:16.017
2,MYS,122117183,155681615,VSP,N,29MAY2022:06:59:16.050
2,MYS,122117184,155681616,VSP,N,29MAY2022:06:59:16.080
2,MYS,122117185,155681617,VSP,N,29MAY2022:06:59:16.127
2,MYS,122117186,155681618,VSP,N,29MAY2022:06:59:16.173
2,MYS,122117187,155681620,VSP,N,29MAY2022:06:59:16.237
2,MYS,122117188,155681622,VSP,N,29MAY2022:06:59:16.297
2,MYS,122117189,155681624,VSP,N,29MAY2022:06:59:16.360
2,MYS,122117190,155681626,VSP,N,29MAY2022:06:59:16.423
2,MYS,122117191,155681637,VSP,N,29MAY2022:06:59:16.720
2,GBR,122117192,155681643,VSP,N,29MAY2022:06:59:16.843
2,GBR,122117193,155681644,VSP,N,29MAY2022:06:59:16.890
2,GBR,122117194,155681645,VSP,N,29MAY2022:06:59:16.923
2,GBR,122117195,155681646,VSP,N,29MAY2022:06:59:17.003
2,MYS,122117196,155681651,VSP,N,29MAY2022:06:59:17.143
2,MYS,122117197,155681652,VSP,N,29MAY2022:06:59:17.160
2,MYS,122117198,155681653,VSP,N,29MAY2022:06:59:17.190
2,MYS,122117199,155681654,VSP,N,29MAY2022:06:59:17.237
2,MYS,122117200,155681655,VSP,N,29MAY2022:06:59:17.270
2,MYS,122117201,155681656,VSP,N,29MAY2022:06:59:17.300
2,MYS,122117202,155681657,VSP,N,29MAY2022:06:59:17.330
2,MYS,122117203,155681658,VSP,N,29MAY2022:06:59:17.360
2,MYS,122117204,155681659,VSP,N,29MAY2022:06:59:17.393
2,MYS,122117205,155681660,VSP,N,29MAY2022:06:59:17.440
2,MYS,122117206,155681662,VSP,N,29MAY2022:06:59:17.503
2,MYS,122117207,155681664,VSP,N,29MAY2022:06:59:17.563
2,MYS,122117208,155681665,VSP,N,29MAY2022:06:59:17.597
2,MYS,122117209,155681666,VSP,N,29MAY2022:06:59:17.627
2,MYS,122117210,155681667,VSP,N,29MAY2022:06:59:17.660
2,MYS,122117211,155681668,VSP,N,29MAY2022:06:59:17.690
2,MYS,122117212,155681669,VSP,N,29MAY2022:06:59:17.737
2,MYS,122117213,155681670,VSP,N,29MAY2022:06:59:17.783
2,MYS,122117214,155681671,VSP,N,29MAY2022:06:59:17.813
2,CHN,122117215,155681672,VSP,N,29MAY2022:06:59:17.847
2,CHN,122117216,155681673,VSP,N,29MAY2022:06:59:17.877
2,CHN,122117217,155681674,VSP,N,29MAY2022:06:59:17.910
2,CHN,122117218,155681675,VSP,N,29MAY2022:06:59:17.940
2,CHN,122117219,155681676,VSP,N,29MAY2022:06:59:18.003
2,CHN,122117220,155681677,VSP,N,29MAY2022:06:59:18.020
2,MYS,122117221,155681681,VSP,N,29MAY2022:06:59:18.127
2,MYS,122117222,155681682,VSP,N,29MAY2022:06:59:18.160
2,MYS,122117223,155681683,VSP,N,29MAY2022:06:59:18.207
2,MYS,122117224,155681684,VSP,N,29MAY2022:06:59:18.253
2,MYS,122117225,155681686,VSP,N,29MAY2022:06:59:18.300
2,MYS,122117226,155681687,VSP,N,29MAY2022:06:59:18.330
2,MYS,122117227,155681688,VSP,N,29MAY2022:06:59:18.360
2,MYS,122117228,155681689,VSP,N,29MAY2022:06:59:18.393
2,MYS,122117229,155681693,VSP,N,29MAY2022:06:59:18.563
2,MYS,122117230,155681695,VSP,N,29MAY2022:06:59:18.660
2,MYS,122117231,155681697,VSP,N,29MAY2022:06:59:18.827
2,MYS,122117232,155681698,VSP,N,29MAY2022:06:59:18.860
2,MYS,122117233,155681702,VSP,N,29MAY2022:06:59:18.983
2,MYS,122117234,155681704,VSP,N,29MAY2022:06:59:19.077
2,MYS,122117235,155681705,VSP,N,29MAY2022:06:59:19.107
2,MYS,122117236,155681706,VSP,N,29MAY2022:06:59:19.140
2,MYS,122117237,155681707,VSP,N,29MAY2022:06:59:19.153
2,MYS,122117238,155681708,VSP,N,29MAY2022:06:59:19.170
2,MYS,122117239,155681709,VSP,N,29MAY2022:06:59:19.200
2,MYS,122117240,155681710,VSP,N,29MAY2022:06:59:19.233
2,MYS,122117241,155681711,VSP,N,29MAY2022:06:59:19.247
2,MYS,122117242,155681712,VSP,N,29MAY2022:06:59:19.263
2,MYS,122117243,155681713,VSP,N,29MAY2022:06:59:19.310
2,MYS,122117244,155681714,VSP,N,29MAY2022:06:59:19.343
2,MYS,122117245,155681715,VSP,N,29MAY2022:06:59:19.360
2,MYS,122117246,155681716,VSP,N,29MAY2022:06:59:19.390
2,MYS,122117247,155681717,VSP,N,29MAY2022:06:59:19.403
2,MYS,122117248,155681718,VSP,N,29MAY2022:06:59:19.437
2,MYS,122117249,155681719,VSP,N,29MAY2022:06:59:19.450
2,MYS,122117250,155681720,VSP,N,29MAY2022:06:59:19.467
2,MYS,122117251,155681721,VSP,N,29MAY2022:06:59:19.500
2,MYS,122117252,155681722,VSP,N,29MAY2022:06:59:19.530
2,MYS,122117253,155681723,VSP,N,29MAY2022:06:59:19.560
2,MYS,122117254,155681724,VSP,N,29MAY2022:06:59:19.577
2,MYS,122117255,155681725,VSP,N,29MAY2022:06:59:19.607
2,MYS,122117256,155681726,VSP,N,29MAY2022:06:59:19.623
2,MYS,122117257,155681727,VSP,N,29MAY2022:06:59:19.657
2,MYS,122117258,155681728,VSP,N,29MAY2022:06:59:19.670
2,MYS,122117259,155681729,VSP,N,29MAY2022:06:59:19.703
2,MYS,122117260,155681730,VSP,N,29MAY2022:06:59:19.720
2,MYS,122117261,155681731,VSP,N,29MAY2022:06:59:19.767
2,MYS,122117262,155681732,VSP,N,29MAY2022:06:59:19.797
2,MYS,122117263,155681733,VSP,N,29MAY2022:06:59:19.830
2,MYS,122117264,155681734,VSP,N,29MAY2022:06:59:19.843
2,MYS,122117265,155681735,VSP,N,29MAY2022:06:59:19.877
2,MYS,122117266,155681736,VSP,N,29MAY2022:06:59:19.920
2,MYS,122117267,155681737,VSP,N,29MAY2022:06:59:20.033
2,MYS,122117268,155681738,VSP,N,29MAY2022:06:59:20.157
2,MYS,122117269,155681739,VSP,N,29MAY2022:06:59:20.237
2,MYS,122117270,155681749,VSP,N,29MAY2022:06:59:21.390
2,MYS,122117271,155681760,VSP,N,29MAY2022:06:59:22.700
2,MYS,122117272,155681761,VSP,N,29MAY2022:06:59:22.823
2,MYS,122117273,155681762,VSP,N,29MAY2022:06:59:22.980
